x_of13_m,x_v2_m,z_m,winkel_grad,n_facetten,tau_t_m2s2,cf,cp_wand,p_wand_Pa,wandabstand_m,u_erstezelle_ms
1.43486,3.64116,0.887143,51.0118,92,0.0846361,0.00018808,-0.0473211,-26.0858,0.000374081,2.40845
1.44387,3.65017,0.876459,49.0531,86,0.11509,0.000255755,0.066971,36.9177,0.000663488,3.73917
1.45407,3.66037,0.864999,31.2863,20,0.129667,0.000288149,0.0634068,34.953,0.000748812,3.79834
1.46369,3.66999,0.864413,3.48565,20,0.322615,0.000716923,0.0373759,20.6035,0.000508079,6.58052
1.47407,3.68037,0.863781,3.48556,20,0.469747,0.00104388,0.0229701,12.6623,0.000392089,8.13447
1.48359,3.68989,0.863201,3.48563,20,0.542375,0.00120528,0.0311277,17.1591,0.000310795,8.71938
1.49307,3.69937,0.862624,3.48568,20,0.520037,0.00115564,0.0617107,34.018,0.000312435,8.30809
1.50496,3.71126,0.8619,3.48572,30,0.384549,0.000854553,0.115525,63.6829,0.000312507,6.4408
1.51642,3.72272,0.861201,3.48566,20,0.230439,0.000512088,0.158776,87.5252,0.000312523,4.15098
1.5266,3.7329,0.860582,3.48564,20,0.12059,0.000267977,0.181248,99.9129,0.000312496,2.32933
1.5361,3.7424,0.860003,3.48568,20,0.0476031,0.000105785,0.192041,105.863,0.000312502,1.12023
1.54558,3.75188,0.859425,3.48569,20,-0.00275725,-6.12723e-06,0.197275,108.748,0.000312493,0.645403
1.5551,3.7614,0.858845,3.48558,20,-0.0366426,-8.1428e-05,0.199615,110.038,0.000312521,0.79335
1.5645,3.7708,0.858273,3.48535,20,-0.0584949,-0.000129989,0.200652,110.609,0.000312495,1.20888
1.5737,3.78,0.857713,3.48577,20,-0.0728637,-0.000161919,0.20136,111,0.000312473,1.50377
1.584,3.7903,0.857085,3.48591,20,-0.0863965,-0.000191992,0.202056,111.383,0.000312501,1.77929
1.59333,3.79963,0.856517,3.48566,20,-0.0934982,-0.000207774,0.203119,111.97,0.000312522,1.93126
1.60522,3.81152,0.855793,3.48569,30,-0.101039,-0.00022453,0.205302,113.173,0.000312516,2.08837
1.61669,3.82299,0.855094,3.48572,20,-0.109315,-0.000242922,0.208358,114.857,0.00031254,2.25687
1.62686,3.83316,0.854474,3.48562,20,-0.118617,-0.000263594,0.212099,116.92,0.000312534,2.4316
1.63636,3.84266,0.853896,3.48553,20,-0.132067,-0.000293482,0.216134,119.144,0.000312508,2.67933
1.64584,3.85214,0.853318,3.48569,20,-0.147422,-0.000327605,0.22072,121.672,0.000312503,2.96664
1.65536,3.86166,0.852738,3.48539,20,-0.164909,-0.000366465,0.225762,124.451,0.000312519,3.28687
1.66476,3.87106,0.852166,3.47139,20,-0.1836,-0.000407999,0.231111,127.4,0.000312505,3.62058
1.67401,3.88031,0.851607,3.45522,20,-0.20128,-0.000447288,0.236642,130.449,0.000312514,3.93914
1.68429,3.89059,0.850987,3.4679,20,-0.221623,-0.000492496,0.242878,133.886,0.000312504,4.29599
1.69359,3.89989,0.85042,3.4848,20,-0.239732,-0.000532739,0.248806,137.154,0.0003125,4.6195
1.70311,3.90941,0.849841,3.48519,20,-0.256139,-0.000569199,0.254875,140.5,0.000312495,4.93409
1.71493,3.92123,0.849121,3.48517,30,-0.274859,-0.000610798,0.262588,144.752,0.000312498,5.30658
1.72652,3.93282,0.848415,3.48519,20,-0.288951,-0.000642114,0.270388,149.051,0.0003125,5.61861
1.7368,3.9431,0.847789,3.48526,20,-0.298781,-0.000663959,0.277198,152.806,0.000312475,5.85237
1.7461,3.9524,0.847222,3.48534,20,-0.303304,-0.000674009,0.283702,156.391,0.000312506,5.9989
1.75562,3.96192,0.846643,3.48525,20,-0.3013,-0.000669557,0.290577,160.181,0.00031249,6.05217
1.76512,3.97142,0.846064,3.48531,20,-0.292687,-0.000650416,0.297893,164.213,0.000312511,6.00038
1.77421,3.98051,0.84551,3.48519,20,-0.277173,-0.000615939,0.305443,168.376,0.000312549,5.85317
1.78439,3.99069,0.844891,3.48523,20,-0.250367,-0.00055637,0.31477,173.517,0.000312475,5.53821
1.7939,4.0002,0.844311,3.25105,20,-0.214675,-0.000477054,0.32451,178.886,0.000312401,5.1152
1.80338,4.00968,0.843812,-0.311511,20,-0.160532,-0.000356739,0.336415,185.449,0.000312193,4.42427
1.81292,4.01922,0.844415,-5.93501,20,-0.172168,-0.000382595,0.342865,189.005,0.000312293,4.82232
1.8253,4.0316,0.84609,-7.10751,30,-0.213952,-0.000475449,0.343906,189.578,0.000312475,5.44049
1.83684,4.04314,0.847397,-9.07512,20,-0.161565,-0.000359032,0.35102,193.5,0.000312536,4.93219
1.84672,4.05302,0.849512,-12.6063,20,-0.207212,-0.000460472,0.348534,192.129,0.000312324,5.4799
1.85632,4.06262,0.851754,-86.0747,20,-0.065017,-0.000144482,0.351952,194.013,0.000312417,5.54977
1.86609,4.07239,1.13173,-86.0021,60,1.71502,0.00381115,0.350506,193.217,0.000306002,19.6682
1.87557,4.08187,1.12714,-0.716567,50,-3.0148,-0.00669955,-0.238337,-131.383,0.000312265,28.8786
1.88402,4.09032,1.13195,-37.1494,30,-1.70231,-0.0037829,0.0183543,10.1178,0.000312997,24.9308
1.8941,4.1004,1.14118,-23.8799,20,-1.77449,-0.00394331,0.457685,252.299,0.000312468,19.366
1.90361,4.10991,1.14063,4.02135,20,-1.78105,-0.0039579,0.473936,261.257,0.000312708,18.1963
1.91518,4.12148,1.1397,4.71767,30,-1.57948,-0.00350995,0.497392,274.187,0.000312393,16.9277
1.92491,4.13121,1.13887,4.69651,10,-1.41633,-0.0031474,0.521565,287.513,0.000312425,15.8538
1.93484,4.14114,1.13808,4.04067,30,-1.291,-0.00286888,0.54245,299.025,0.000312417,14.9798
1.94659,4.15289,1.13734,3.32733,20,-1.20044,-0.00266765,0.555723,306.342,0.000312339,14.376
1.95613,4.16243,1.13685,2.39737,20,-1.11172,-0.00247049,0.573955,316.393,0.000312509,13.6849
1.96569,4.17199,1.13654,1.30863,20,-1.07254,-0.00238343,0.581198,320.385,0.00031269,13.4088
1.97527,4.18157,1.13641,0.211541,20,-1.03577,-0.0023017,0.591411,326.015,0.000312256,13.1483
1.98484,4.19114,1.13647,-1.06528,20,-1.00583,-0.00223517,0.598609,329.983,0.000312422,12.8851
1.9944,4.2007,1.13676,-2.15418,20,-1.02719,-0.00228264,0.593676,327.264,0.000312423,13.1288
2.00394,4.21024,1.13719,-2.91742,20,-1.01959,-0.00226576,0.598039,329.669,0.000312381,13.0473
2.01344,4.21974,1.13773,-4.00088,20,-0.995742,-0.00221276,0.60314,332.481,0.000312523,12.8256
2.02294,4.22924,1.13851,-5.10726,20,-1.01966,-0.0022659,0.597412,329.323,0.000312394,13.094
2.03536,4.24166,1.13969,-5.86767,30,-1.01979,-0.0022662,0.597874,329.578,0.000312359,13.0626
2.04669,4.25299,1.14095,18.1282,20,-0.915757,-0.00203502,0.601119,331.367,0.000312266,12.9974
2.05743,4.26373,1.13247,31.2584,30,-1.15835,-0.00257412,0.0945869,52.141,0.000312552,16.6604
2.06575,4.27205,1.12938,1.84907,40,-1.81842,-0.00404094,-0.147622,-81.3764,0.000312545,18.2565
2.07554,4.28184,1.13188,-14.8083,40,-1.77808,-0.00395128,-0.103567,-57.0915,0.00031247,17.5213
2.08472,4.29102,1.1344,-15.4887,40,-1.73198,-0.00384885,-0.0854413,-47.0995,0.000312503,17.3041
2.09456,4.30086,1.13715,-16.2286,40,-1.70622,-0.00379159,-0.0676645,-37.3001,0.000312535,17.131
2.10389,4.31019,1.13998,-17.1922,40,-1.64373,-0.00365273,-0.0415971,-22.9304,0.000312545,16.749
2.11377,4.32007,1.1431,-13.8643,40,-1.59791,-0.0035509,-0.020841,-11.4886,0.000312348,16.5373
2.1244,4.3307,1.14504,-19.1816,50,-1.73104,-0.00384676,-0.132071,-72.8042,0.000312526,17.3078
2.13505,4.34135,1.1505,-23.6654,40,-1.56049,-0.00346775,0.0142599,7.86077,0.000312636,16.2222
2.14462,4.35092,1.1539,-22.3614,40,-1.50446,-0.00334324,0.0345173,19.0277,0.000312473,15.7425
2.15522,4.36152,1.1588,-20.6173,50,-1.27643,-0.00283651,0.179959,99.2022,0.00031561,13.8961
2.16584,4.37214,1.16189,-20.0353,40,-1.27913,-0.00284251,0.0907616,50.0323,0.000378363,13.3729
2.17558,4.38188,1.16622,-34.3091,40,-1.03614,-0.00230253,0.125334,69.0904,0.000465801,10.997
2.18729,4.39359,1.17652,-41.3476,130,-0.242245,-0.000538322,0.21672,119.467,0.000763705,8.44556
